Economy,Year,Economy Code,"Birth rate, crude (per 1,000 people)"
St. Martin (French part),2022,MAF,14.414
St. Vincent and the Grenadines,2022,VCT,12.726
Sudan,2022,SDN,33.027
Suriname,2022,SUR,17.983
Sweden,2022,SWE,10.000
Switzerland,2022,CHE,9.400
Syrian Arab Republic,2022,SYR,20.531
Tajikistan,2022,TJK,26.025
Tanzania,2022,TZA,35.811
Thailand,2022,THA,8.806
Timor-Leste,2022,TLS,24.611
Togo,2022,TGO,31.480
Tonga,2022,TON,22.894
Trinidad and Tobago,2022,TTO,11.382
Tunisia,2022,TUN,15.600
Turkiye,2022,TUR,14.468
Turkmenistan,2022,TKM,20.755
Turks and Caicos Islands,2022,TCA,12.270
Tuvalu,2022,TUV,23.318
Uganda,2022,UGA,36.215
Ukraine,2022,UKR,7.659
United Arab Emirates,2022,ARE,9.888
United Kingdom,2022,GBR,10.000
United States,2022,USA,11.000
Uruguay,2022,URY,10.419
Uzbekistan,2022,UZB,26.200
Vanuatu,2022,VUT,28.968
"Venezuela, RB",2022,VEN,15.573
Vietnam,2022,VNM,14.689
Virgin Islands (U.S.),2022,VIR,11.600
West Bank and Gaza,2022,PSE,27.690
"Yemen, Rep.",2022,YEM,29.919
Zambia,2022,ZMB,34.127
Zimbabwe,2022,ZWE,30.086
