Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",Fertility rate - Sex: all - Age: all - Variant: estimates,Population (historical),World regions according to OWID,time,time,time,time
Serbia,SRB,2022,50.967,1.519,6791218,Europe,2022,2023,2022,2022
Singapore,SGP,2022,63.366,0.943,5649886,Asia,2022,2023,2022,2022
Slovakia,SVK,2022,56.175,1.56,5473194,Europe,2022,2023,2022,2022
Slovenia,SVN,2022,58.122,1.568,2115230,Europe,2022,2023,2022,2022
South Africa,ZAF,2022,50.819,2.227,62378419,Africa,2022,2023,2022,2022
South Korea,KOR,2022,55.041,0.78,51782514,Asia,2022,2023,2022,2022
Spain,ESP,2022,53.188,1.205,47828386,Europe,2022,2023,2022,2022
Sweden,SWE,2022,63.677,1.538,10487333,Europe,2022,2023,2022,2022
Switzerland,CHE,2022,61.486,1.395,8792180,Europe,2022,2023,2022,2022
Thailand,THA,2022,59.857,1.221,71735320,Asia,2022,2023,2022,2022
Trinidad and Tobago,TTO,2022,47.275,1.544,1495922,North America,2022,2023,2022,2022
Turkey,TUR,2022,35.114,1.625,87058470,Asia,2022,2023,2022,2022
Tuvalu,TUV,2022,20.032,3.244,10012,Oceania,2022,2023,2022,2022
United Arab Emirates,ARE,2022,55.315,1.148,10242085,Asia,2022,2023,2022,2022
United States,USA,2022,56.788,1.665,341534041,North America,2022,2023,2022,2022
Uruguay,URY,2022,55.653,1.425,3390913,South America,2022,2023,2022,2022
Vietnam,VNM,2022,68.543,1.927,99680656,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,53.998,4.175,20152934,Africa,2022,2023,2022,2022
